country,date,sector,value20,,country,date,sector,value21,,Country,date,sector,value19
Brazil,1/8/2020,Domestic Aviation,0.0272945,,Brazil,1/8/2021,Domestic Aviation,0.0299925,,Brazil,8/1/2019,Domestic Aviation,0.0325468
Brazil,1/8/2020,Ground Transport,0.484112,,Brazil,1/8/2021,Ground Transport,0.461045,,Brazil,8/1/2019,Ground Transport,0.472862
Brazil,1/8/2020,Industry,0.323746,,Brazil,1/8/2021,Industry,0.353789,,Brazil,8/1/2019,Industry,0.259975
Brazil,1/8/2020,International Aviation,0.019303,,Brazil,1/8/2021,International Aviation,0.009222,,Brazil,8/1/2019,International Aviation,0.0207483
Brazil,1/8/2020,Power,0.310592,,Brazil,1/8/2021,Power,0.340742,,Brazil,8/1/2019,Power,0.116614
Brazil,1/8/2020,Residential,0.0984519,,Brazil,1/8/2021,Residential,0.0984519,,Brazil,8/1/2019,Residential,0.0984519
China,1/8/2020,Domestic Aviation,0.164148,,China,1/8/2021,Domestic Aviation,0.16875,,China,8/1/2019,Domestic Aviation,0.161448
China,1/8/2020,Ground Transport,2.60321,,China,1/8/2021,Ground Transport,2.39735,,China,8/1/2019,Ground Transport,2.53356
China,1/8/2020,Industry,9.69587,,China,1/8/2021,Industry,11.2282,,China,8/1/2019,Industry,10.373
China,1/8/2020,International Aviation,0.0843144,,China,1/8/2021,International Aviation,0.0312827,,China,8/1/2019,International Aviation,0.0805038
China,1/8/2020,Power,15.4023,,China,1/8/2021,Power,16.6146,,China,8/1/2019,Power,14.7601
China,1/8/2020,Residential,3.65757,,China,1/8/2021,Residential,4.83991,,China,8/1/2019,Residential,3.94817
India,1/8/2020,Domestic Aviation,0.0191901,,India,1/8/2021,Domestic Aviation,0.0165445,,India,8/1/2019,Domestic Aviation,0.0201349
India,1/8/2020,Ground Transport,0.856364,,India,1/8/2021,Ground Transport,0.83036,,India,8/1/2019,Ground Transport,0.849987
India,1/8/2020,Industry,2.13386,,India,1/8/2021,Industry,2.23314,,India,8/1/2019,Industry,2.14458
India,1/8/2020,International Aviation,0.0361762,,India,1/8/2021,International Aviation,0.0152997,,India,8/1/2019,International Aviation,0.0340659
India,1/8/2020,Power,3.38404,,India,1/8/2021,Power,3.84178,,India,8/1/2019,Power,3.46459
India,1/8/2020,Residential,1.55735,,India,1/8/2021,Residential,1.01308,,India,8/1/2019,Residential,1.47917
Russia,1/8/2020,Domestic Aviation,0.0418221,,Russia,1/8/2021,Domestic Aviation,0.0449909,,Russia,8/1/2019,Domestic Aviation,0.0402567
Russia,1/8/2020,Ground Transport,0.564989,,Russia,1/8/2021,Ground Transport,0.591031,,Russia,8/1/2019,Ground Transport,0.505568
Russia,1/8/2020,Industry,0.645292,,Russia,1/8/2021,Industry,0.610798,,Russia,8/1/2019,Industry,0.633974
Russia,1/8/2020,International Aviation,0.0316773,,Russia,1/8/2021,International Aviation,0.010563,,Russia,8/1/2019,International Aviation,0.0319131
Russia,1/8/2020,Power,2.64853,,Russia,1/8/2021,Power,2.48547,,Russia,8/1/2019,Power,2.92351
Russia,1/8/2020,Residential,0.772968,,Russia,1/8/2021,Residential,0.879552,,Russia,8/1/2019,Residential,0.960881
Brazil,1/9/2020,Domestic Aviation,0.0330129,,Brazil,1/9/2021,Domestic Aviation,0.0292404,,Brazil,9/1/2019,Domestic Aviation,0.0326431
Brazil,1/9/2020,Ground Transport,0.485902,,Brazil,1/9/2021,Ground Transport,0.361622,,Brazil,9/1/2019,Ground Transport,0.470345
Brazil,1/9/2020,Industry,0.331882,,Brazil,1/9/2021,Industry,0.355859,,Brazil,9/1/2019,Industry,0.266417
Brazil,1/9/2020,International Aviation,0.0188783,,Brazil,1/9/2021,International Aviation,0.00731656,,Brazil,9/1/2019,International Aviation,0.0202281
Brazil,1/9/2020,Power,0.318397,,Brazil,1/9/2021,Power,0.342736,,Brazil,9/1/2019,Power,0.119504
Brazil,1/9/2020,Residential,0.0984519,,Brazil,1/9/2021,Residential,0.0984519,,Brazil,9/1/2019,Residential,0.0984519
China,1/9/2020,Domestic Aviation,0.166207,,China,1/9/2021,Domestic Aviation,0.160371,,China,9/1/2019,Domestic Aviation,0.163608
China,1/9/2020,Ground Transport,2.60404,,China,1/9/2021,Ground Transport,2.3746,,China,9/1/2019,Ground Transport,2.53332
China,1/9/2020,Industry,9.58381,,China,1/9/2021,Industry,11.2726,,China,9/1/2019,Industry,10.4155
China,1/9/2020,International Aviation,0.0876839,,China,1/9/2021,International Aviation,0.0292875,,China,9/1/2019,International Aviation,0.0803937
China,1/9/2020,Power,15.2242,,China,1/9/2021,Power,16.6804,,China,9/1/2019,Power,14.8206
China,1/9/2020,Residential,3.666,,China,1/9/2021,Residential,4.46778,,China,9/1/2019,Residential,3.93747
India,1/9/2020,Domestic Aviation,0.0200853,,India,1/9/2021,Domestic Aviation,0.0158131,,India,9/1/2019,Domestic Aviation,0.0208484
India,1/9/2020,Ground Transport,0.861154,,India,1/9/2021,Ground Transport,0.819027,,India,9/1/2019,Ground Transport,0.85244
India,1/9/2020,Industry,2.09329,,India,1/9/2021,Industry,1.95857,,India,9/1/2019,Industry,2.13875
India,1/9/2020,International Aviation,0.0354883,,India,1/9/2021,International Aviation,0.0164242,,India,9/1/2019,International Aviation,0.0361237
India,1/9/2020,Power,3.3197,,India,1/9/2021,Power,3.36942,,India,9/1/2019,Power,3.45518
India,1/9/2020,Residential,2.01431,,India,1/9/2021,Residential,0.849994,,India,9/1/2019,Residential,1.6603
Russia,1/9/2020,Domestic Aviation,0.0410638,,Russia,1/9/2021,Domestic Aviation,0.0468289,,Russia,9/1/2019,Domestic Aviation,0.0388488
