country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
United States,1/9/2020,Power,3.70857,,,United States,1/9/2020,Industry,2.73491,,,,United States,1/9/2020,Domestic Aviation,0.490857,,,,United States,1/9/2020,International Aviation,0.214954,,,,United States,1/9/2020,Ground Transport,4.45025,,,,United States,1/9/2020,Residential,3.00349,,
WORLD,1/9/2020,Power,39.6916,,,WORLD,1/9/2020,Industry,27.4514,,,,WORLD,1/9/2020,Domestic Aviation,0.994169,,,,WORLD,1/9/2020,International Aviation,1.63284,,,,WORLD,1/9/2020,Ground Transport,18.8968,,,,WORLD,1/9/2020,Residential,17.7544,,
Brazil,1/10/2020,Power,0.329852,,,Brazil,1/10/2020,Industry,0.343822,,,,Brazil,1/10/2020,Domestic Aviation,0.0353972,,,,Brazil,1/10/2020,International Aviation,0.0204989,,,,Brazil,1/10/2020,Ground Transport,0.489386,,,,Brazil,1/10/2020,Residential,0.0984519,,
China,1/10/2020,Power,15.5569,,,China,1/10/2020,Industry,9.79323,,,,China,1/10/2020,Domestic Aviation,0.184145,,,,China,1/10/2020,International Aviation,0.0883396,,,,China,1/10/2020,Ground Transport,2.64973,,,,China,1/10/2020,Residential,3.65677,,
EU27 & UK,1/10/2020,Power,2.90551,,,EU27 & UK,1/10/2020,Industry,1.74026,,,,EU27 & UK,1/10/2020,Domestic Aviation,0.0447609,,,,EU27 & UK,1/10/2020,International Aviation,0.448377,,,,EU27 & UK,1/10/2020,Ground Transport,2.66163,,,,EU27 & UK,1/10/2020,Residential,2.494,,
India,1/10/2020,Power,3.3018,,,India,1/10/2020,Industry,2.082,,,,India,1/10/2020,Domestic Aviation,0.0215445,,,,India,1/10/2020,International Aviation,0.0374553,,,,India,1/10/2020,Ground Transport,0.861093,,,,India,1/10/2020,Residential,2.38445,,
ROW,1/10/2020,Power,10.0759,,,ROW,1/10/2020,Industry,9.37786,,,,ROW,1/10/2020,Domestic Aviation,0.197331,,,,ROW,1/10/2020,International Aviation,0.803297,,,,ROW,1/10/2020,Ground Transport,6.16901,,,,ROW,1/10/2020,Residential,5.37466,,
Russia,1/10/2020,Power,2.7508,,,Russia,1/10/2020,Industry,0.67021,,,,Russia,1/10/2020,Domestic Aviation,0.0447173,,,,Russia,1/10/2020,International Aviation,0.0347362,,,,Russia,1/10/2020,Ground Transport,0.662498,,,,Russia,1/10/2020,Residential,0.773561,,
United States,1/10/2020,Power,3.42611,,,United States,1/10/2020,Industry,2.69725,,,,United States,1/10/2020,Domestic Aviation,0.505629,,,,United States,1/10/2020,International Aviation,0.224712,,,,United States,1/10/2020,Ground Transport,4.58638,,,,United States,1/10/2020,Residential,2.39036,,
WORLD,1/10/2020,Power,39.9751,,,WORLD,1/10/2020,Industry,27.3768,,,,WORLD,1/10/2020,Domestic Aviation,1.05936,,,,WORLD,1/10/2020,International Aviation,1.71363,,,,WORLD,1/10/2020,Ground Transport,18.5761,,,,WORLD,1/10/2020,Residential,17.7214,,
